########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	4894
file                           	QS-02_K_BOA_002.0A_181108_091411.dat
date                           	08/11/2018
hour                           	09:14:11
operator                       	Lidia Toledo
software_version               	v3.5
bench                          	2
temperature(C)                 	23.61
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+2.001150e+00
main_coil_current_std(A)       	+2.518876e-03
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_2018-11-07_r=13mm_b2
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	246921
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013042
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	Rampa



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/SnMagnet@12.0mm	std_Nn/SnMagnet@12.0mm	avg_Sn/SnMagnet@12.0mm	std_Sn/SnMagnet@12.0mm
1   	  -1.973532e-06   	  +3.818175e-08   	  +3.248176e-07   	  +4.680697e-08   	  +2.000084e-06   	  +3.843409e-08   	  -1.407672e+00   	  +2.329902e-02   	  +4.188078e-03   	  +8.102709e-05   	  -6.893041e-04   	  +9.933014e-05   
2   	  -3.512326e-05   	  +4.266003e-06   	  -3.926886e-02   	  +3.254165e-06   	  +3.926888e-02   	  +3.254166e-06   	  +4.472151e-04   	  +5.431786e-05   	  +8.944289e-04   	  +1.086358e-04   	  +1.000000e+00   	  +1.171943e-04   
3   	  -8.947139e-04   	  +1.775775e-04   	  +2.929080e-04   	  +1.143359e-04   	  +9.414393e-04   	  +1.724724e-04   	  -4.181389e-01   	  +4.316106e-02   	  +2.734124e-04   	  +5.426513e-05   	  -8.951025e-05   	  +3.493942e-05   
4   	  -6.544751e-03   	  +1.284162e-02   	  -1.969852e-02   	  +8.192371e-03   	  +2.075730e-02   	  +8.765659e-03   	  +8.019286e-02   	  +1.500356e-01   	  +2.399985e-05   	  +4.709057e-05   	  +7.223555e-05   	  +3.004165e-05   
5   	  -8.589205e-02   	  +1.049762e+00   	  -4.401930e-01   	  +1.244449e+00   	  +4.484945e-01   	  +1.237849e+00   	  +3.854047e-02   	  +4.715938e-01   	  +3.780321e-06   	  +4.619409e-05   	  +1.936919e-05   	  +5.476113e-05   
6   	  +2.380516e+01   	  +5.059509e+01   	  -1.865980e+03   	  +3.864220e+01   	  +1.866131e+03   	  +3.864445e+01   	  -2.126128e-03   	  +4.518561e-03   	  -1.256940e-05   	  +2.671684e-05   	  +9.853339e-04   	  +2.040525e-05   
7   	  +1.695212e+03   	  +5.608920e+03   	  -8.478153e+03   	  +4.521957e+03   	  +8.645971e+03   	  +4.568526e+03   	  -2.819258e-02   	  +9.205038e-02   	  -1.074172e-05   	  +3.554162e-05   	  +5.372313e-05   	  +2.865394e-05   
8   	  +3.671876e+05   	  +3.213560e+05   	  -1.734271e+06   	  +3.930736e+05   	  +1.772716e+06   	  +3.902673e+05   	  -2.608040e-02   	  +2.289977e-02   	  -2.792130e-05   	  +2.443575e-05   	  +1.318725e-04   	  +2.988912e-05   
9   	  +1.670026e+07   	  +1.526908e+07   	  -1.109954e+07   	  +2.115131e+07   	  +2.005239e+07   	  +1.728538e+07   	  -1.093559e-01   	  +1.082616e-01   	  -1.523935e-05   	  +1.393264e-05   	  +1.012781e-05   	  +1.930002e-05   
10  	  +2.171083e+09   	  +2.343026e+09   	  -1.078029e+10   	  +1.680654e+09   	  +1.099674e+10   	  +1.711281e+09   	  -1.987353e-02   	  +2.110399e-02   	  -2.377342e-05   	  +2.565540e-05   	  +1.180416e-04   	  +1.840264e-05   
11  	  +3.821543e+10   	  +1.074854e+11   	  +4.549579e+10   	  +2.002921e+11   	  +5.941622e+10   	  +1.682277e+11   	  +6.351332e-02   	  +2.338982e-01   	  -5.020871e-06   	  +1.412318e-05   	  -5.978177e-06   	  +2.631763e-05   
12  	  -2.795339e+12   	  +1.649270e+13   	  -2.276223e+13   	  +1.459042e+13   	  +2.293323e+13   	  +1.462049e+13   	  +1.018285e-02   	  +5.983330e-02   	  +4.407690e-06   	  +2.600494e-05   	  +3.589050e-05   	  +2.300551e-05   
13  	  +1.960048e+14   	  +5.995228e+14   	  +2.434733e+14   	  +4.051132e+14   	  +3.125654e+14   	  +4.908357e+14   	  +5.213880e-02   	  +1.308340e-01   	  -3.707971e-06   	  +1.134361e-05   	  -4.606539e-06   	  +7.665169e-06   
14  	  -1.785162e+15   	  +6.847504e+16   	  +2.616652e+17   	  +4.381730e+16   	  +2.616713e+17   	  +4.381877e+16   	  -4.873006e-04   	  +1.869141e-02   	  +4.059505e-07   	  +1.554744e-05   	  -5.941160e-05   	  +9.948837e-06   
15  	  -4.669555e+17   	  +5.832773e+18   	  +1.891608e+18   	  +9.395807e+18   	  +1.948391e+18   	  +9.228467e+18   	  -1.613451e-02   	  +2.085166e-01   	  +1.272551e-06   	  +1.589216e-05   	  -5.153572e-06   	  +2.560012e-05   

magnetic_center_x(um) 	8.272
magnetic_center_y(um) 	50.257


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
3.197847945557e-06	3.201446588719e-06	3.200153287253e-06	3.201868821634e-06	3.20367189488e-06	3.205480425095e-06	3.204243284927e-06	3.204727818229e-06	3.202647576472e-06	3.200928404112e-06
3.174606035827e-06	3.172931428708e-06	3.170684749421e-06	3.170372337991e-06	3.16927116728e-06	3.171083335474e-06	3.17189415e-06	3.172167225785e-06	3.170320496793e-06	3.172238166371e-06
3.099040668531e-06	3.102044502157e-06	3.106747726633e-06	3.105984205831e-06	3.110057605227e-06	3.113798811682e-06	3.109394583589e-06	3.108137889285e-06	3.106808208031e-06	3.103234121227e-06
3.003695383086e-06	3.006747647305e-06	3.000677907039e-06	2.999132220793e-06	2.997764113388e-06	2.998207719429e-06	2.998033778567e-06	3.001731556651e-06	3.001807272085e-06	3.000785227414e-06
2.85387045551e-06	2.856598030121e-06	2.856057335521e-06	2.858886318791e-06	2.862982910301e-06	2.865327587642e-06	2.864294856408e-06	2.862030214601e-06	2.860766016965e-06	2.858779907911e-06
2.700616505535e-06	2.702899791984e-06	2.700459617699e-06	2.697541049201e-06	2.69916426987e-06	2.69998395197e-06	2.697911895666e-06	2.697652234929e-06	2.697977379285e-06	2.69793872576e-06
2.504507392587e-06	2.505693146304e-06	2.502840288798e-06	2.50710149885e-06	2.505682459741e-06	2.509813384677e-06	2.507859790057e-06	2.509728574296e-06	2.508219040465e-06	2.506989176254e-06
2.288090854563e-06	2.290171551067e-06	2.286405560881e-06	2.284029505972e-06	2.286204107804e-06	2.289817302881e-06	2.286578819621e-06	2.286935796292e-06	2.286966946485e-06	2.283534740855e-06
2.036676960415e-06	2.040267645498e-06	2.04071443477e-06	2.044576376647e-06	2.046588178928e-06	2.043592076006e-06	2.043267841145e-06	2.042447476924e-06	2.044363782261e-06	2.04460934583e-06
1.778599880708e-06	1.776961653377e-06	1.775045916474e-06	1.773977487574e-06	1.769548134689e-06	1.774114480213e-06	1.77530205292e-06	1.775220994205e-06	1.7763741198e-06	1.773227268131e-06
1.481201934439e-06	1.485352413511e-06	1.487698000346e-06	1.490570980422e-06	1.491662942499e-06	1.49566676555e-06	1.490304271101e-06	1.494952925896e-06	1.48863080085e-06	1.490524027759e-06
1.194317405862e-06	1.193390744447e-06	1.189576437355e-06	1.190423404296e-06	1.188015176012e-06	1.190131797557e-06	1.191890987684e-06	1.186440272249e-06	1.191065962303e-06	1.18944501537e-06
8.809305995783e-07	8.827319106786e-07	8.834054483486e-07	8.861018727657e-07	8.87397391125e-07	8.861821925166e-07	8.852102837409e-07	8.880886070983e-07	8.878153607839e-07	8.883864666132e-07
5.624548293781e-07	5.612379823106e-07	5.58514216209e-07	5.576414423558e-07	5.58314184218e-07	5.649862373502e-07	5.630295731862e-07	5.588636327047e-07	5.586496740762e-07	5.578715445154e-07
2.320429928204e-07	2.331557027446e-07	2.369168896621e-07	2.386989024217e-07	2.36154050981e-07	2.393121292243e-07	2.368837499489e-07	2.389827784555e-07	2.346230445482e-07	2.379172485689e-07
-9.173060533385e-08	-9.121879429586e-08	-9.64861399666e-08	-9.547966328682e-08	-9.62932418247e-08	-9.791185107133e-08	-9.814564805311e-08	-9.561797753577e-08	-9.51674437033e-08	-9.994965921578e-08
-4.230101353642e-07	-4.2426236746e-07	-4.236461563778e-07	-4.198281544632e-07	-4.15169012058e-07	-4.143194587414e-07	-4.15704533907e-07	-4.155856174748e-07	-4.195834151233e-07	-4.176648360499e-07
-7.382424769276e-07	-7.376386861324e-07	-7.399847277156e-07	-7.39562722174e-07	-7.41832195672e-07	-7.386015568045e-07	-7.445798360095e-07	-7.451046144524e-07	-7.403664881167e-07	-7.439446108037e-07
-1.057365011548e-06	-1.05753713342e-06	-1.056714609149e-06	-1.056113433151e-06	-1.055980305864e-06	-1.054990775629e-06	-1.052676111613e-06	-1.04700745851e-06	-1.051973868016e-06	-1.052236143551e-06
-1.349482545265e-06	-1.351998776045e-06	-1.350982415715e-06	-1.351859623355e-06	-1.350101342723e-06	-1.349038825538e-06	-1.352092226625e-06	-1.357112751066e-06	-1.353764673695e-06	-1.356217694592e-06
-1.642674078539e-06	-1.642695110604e-06	-1.640834511818e-06	-1.643083919589e-06	-1.636784759285e-06	-1.637032710278e-06	-1.637257810216e-06	-1.635641524445e-06	-1.634860723243e-06	-1.636022716411e-06
-1.902408484966e-06	-1.903314341689e-06	-1.904339910652e-06	-1.904348664539e-06	-1.906965053422e-06	-1.904024315991e-06	-1.905748490572e-06	-1.906920715555e-06	-1.908839522002e-06	-1.907954356284e-06
-2.146432734662e-06	-2.149323790945e-06	-2.14583997149e-06	-2.147413624698e-06	-2.141101958841e-06	-2.138927357009e-06	-2.14485203287e-06	-2.139925300071e-06	-2.140502374459e-06	-2.139123353118e-06
-2.376827296757e-06	-2.374569248786e-06	-2.374078803768e-06	-2.378132876402e-06	-2.378196313657e-06	-2.378724730079e-06	-2.378917315582e-06	-2.379696979915e-06	-2.380888190601e-06	-2.379520537943e-06
-2.56385578723e-06	-2.568387571955e-06	-2.568395757407e-06	-2.565947170297e-06	-2.566811645011e-06	-2.561714609328e-06	-2.554697175583e-06	-2.55940722127e-06	-2.557182369856e-06	-2.560829216236e-06
-2.730512505877e-06	-2.730662799877e-06	-2.728835625021e-06	-2.729592551987e-06	-2.729006610025e-06	-2.727423634497e-06	-2.734689360295e-06	-2.732234406722e-06	-2.735531325015e-06	-2.736837586781e-06
-2.872899131035e-06	-2.87600869342e-06	-2.87728494186e-06	-2.876512553485e-06	-2.875187419704e-06	-2.873652874769e-06	-2.874182882806e-06	-2.871084689104e-06	-2.870211801564e-06	-2.868545152523e-06
-2.967270802401e-06	-2.966774218294e-06	-2.966959073092e-06	-2.96971620628e-06	-2.969005890918e-06	-2.967362888739e-06	-2.968516128021e-06	-2.971007688757e-06	-2.969529077745e-06	-2.972615448016e-06
-3.042350499527e-06	-3.043395736313e-06	-3.044486902581e-06	-3.042817297683e-06	-3.038530394406e-06	-3.037460601263e-06	-3.037064743694e-06	-3.035647523575e-06	-3.037803935513e-06	-3.036589532712e-06
-3.066104454774e-06	-3.066811586905e-06	-3.066947328989e-06	-3.067294301218e-06	-3.072020945183e-06	-3.069465037697e-06	-3.070468665101e-06	-3.074034793826e-06	-3.07301797875e-06	-3.070004822803e-06
